------- 1 - Términos	BI2024
índice de contracción ventricular	index for cardiac contractility	BI2024
método indicador de oxidación de aminoácidos	Indicator Amino Acid Oxidation method	BI2024
solución indicadora	indicator solution	BI2024
controles de deriva individuales 	individual drift controls	BI2024
valor individual	individual value	BI2024
mutación provocada	induced mutation	BI2024
espectrometría de emisión óptica con plasma de acoplamiento inductivo [ICP-OES]	inductive coupled plasma optical emission spectroscopy [ICP-OES]	BI2024
infiltración inflamatoria	inflammatory infiltration	BI2024
liberación de mediadores inflamatorios	inflammatory mediator release	BI2024
enfermedad inflamatoria de la piel	inflammatory skin disease	BI2024
consentimiento informado	informed consent	BI2024
secado infrarrojo   	infrared drying	BI2024
secado infrarrojo   	IR drying	BI2024
espectómetro infrarrojo	infrared spectrometer	BI2024
espectrofotometría infrarroja	infrared spectrophotometry	BI2024
espectrofotometría infrarroja	IR spectrophotometry	BI2024
espectroscopía infrarroja	infrared spectroscopy	BI2024
espectroscopía infrarroja	IR spectroscopy	BI2024
espectro infrarrojo	infrared spectrum	BI2024
espectro infrarrojo	IR spectrum	BI2024
infusión	infusion	BI2024
componente	ingredient	de un comprimido)	BI2024
fabricante de los componentes	Ingredient manufacturer	BI2024
polvo inhalatorio	inhalation power	BI2024
corticoesteroides inhalados	inhaled corticosteroids	BI2024
inhalador	inhaler	BI2024
cierre a presión del buje de leva del inhalador	inhaler cam bushing snap fit	BI2024
potencial inhibitorio	inhibition potential	BI2024
efecto inhibitorio 	inhibitory effect 	BI2024
vías inhibitorias	inhibitory pathways	BI2024
de uso interno	in-house	BI2024
inicio del tratamiento	initiate treatment	BI2024
iniciar el tratamiento 	initiating treatment	BI2024
principio de inyección	injection principle	BI2024
reacción en la zona de inyección	injection site reaction 	BI2024
ampolla para inyección	injection vial	BI2024
inyector	injector	BI2024
lesión	injury	BI2024
entrada	inlet	cromatografía)	BI2024
filtro de membrana en la vía	in-line filter membrane	BI2024
tapa interna	inner cap	BI2024
productos inoculados	inoculated products	BI2024
tren de inóculo 	inoculum train	BI2024
efecto inotrópico	inotropic effect	BI2024
controles intermedios del proceso	in-process controls	BI2024
parámetros intermedios del proceso	in-process parameters	BI2024
pruebas intraproceso	in-process tests	BI2024
materia insoluble	insoluble matter	BI2024
capacidad inspiratoria	inspiratory capacity	BI2024
instilación	instillation	BI2024
instrucciones para la manipulación y modo de empleo	instructions for handling and use	BI2024
modo de empleo	instructions for use	BI2024
control glucémico insuficiente	insufficient glycaemic control	BI2024
picos integrables	integrable peaks	BI2024
análisis integrado de eficacia	integrated analysis of efficacy	BI2024
integrador	Integrator	BI2024
unidades de integración	integrator units	BI2024
integrina	integrin 	BI2024
equipo para prueba de integridad	integrity tester	BI2024
tegumento	integument	BI2024
cobertura	integument	BI2024
tegumentario	integumentary	BI2024
fórmula comercial prevista	intended commercial formulation	BI2024
fórmula final prevista	intended final formulation	BI2024
partidas previstas de estabilidad primaria 	intended primary stability batches	BI2024
análisis por intención de tratar	intention-to-treat analysis	BI2024
análisis IDT	analysis	BI2024
estudios para establecer interacciones	interaction studies	BI2024
interacciones	interactions	BI2024
Interacciones medicamentosas y de otro tipo	Interactions with other medicinal products and other forms of interaction	BI2024
intercambiabilidad	interchangeabilty	BI2024
pico de interferencia	interfering peak	BI2024
isoterma intermedia	interim isotherm	BI2024
interindividual	interindividual	BI2024
variabilidad entre individuos	inter-individual variability	BI2024
interleucina 6 [IL-6]	interleukin 6 [IL 6]	BI2024
inhibidor de la interleucina 	interleukin inhibitor 	BI2024
interleucina 36 [IL-36]	interlukin 36 	BI2024
señalización del receptor de la interleucina 36 [IL-36R]	interlukin 36 receptor  signalling	BI2024
compuesto intermedio	intermediate 	durante el proceso de fabricación)	BI2024
precisión intermedia	intermediate precision	BI2024
asma intermitente	intermittent asthma	BI2024
código interno	internal code 	de un producto)	BI2024
revestimiento interno	internal liner	de un obturador)	BI2024
fecha de la primera autorización a nivel internacional	international birth date	de un medicamento)	BI2024
Conferencia Internacional sobre Armonización de Requisitos Técnicos del Registro de Productos Farmacéuticos para Consumo Humano	International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use	International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use)	BI2024
Consejo Internacional sobre Armonización de Requisitos Técnicos del Registro de Productos Farmacéuticos para Uso Humano	International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use	International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use)	BI2024
Denominación común internacional	International Nonproprietary Name	BI2024
procedimiento intervencionista	interventional procedure 	BI2024
intrapartida	intrabatch	BI2024
intraduodenal [i.d.]	intraduodenal [i.d.]	BI2024
administración intraduodenal	intraduodenal administration	BI2024
neoplasia intraepitelial 	intraepithelial neoplasia 	BI2024
variabilidad en un mismo individuo	intra-individual variability	BI2024
inyección por vía intramuscular 	intramuscular injection	BI2024
variabilidad intraindividuo	intra-subject ratio	BI2024
intravenoso [i.v.]	intravenous [i.v.]	BI2024
vía intravenosa	intravenous line	BI2024
vía de administración intravenosa 	intravenous route of administration	BI2024
por vía intravenosa	intravenously	BI2024
velocidad de disolución intrínseca	intrinsic dissolution rates	BI2024
estudios durante el uso 	in-use studies	BI2024
yoduro	iodide	BI2024
yodimetría	iodimetry	BI2024
yodo	iodine	BI2024
yodometría	iodometric assay	BI2024
yodometría	iodometry	BI2024
cromatografía de intercambio iónico	ion exchange chromatography	BI2024
par iónico	ion pair	BI2024
reactivo de pares iónicos	ion pairing reagent	BI2024
grupos ionizables	ionizable groups	BI2024
ionómero	ionomer	BI2024
cromatografía de pares de iones	ion-pair chromatography	BI2024
cromatografía de pares de iones	ion pair chromatography	BI2024
inhibidor irreversible	irreversible inhibitor	BI2024
test de Irwin	Irwin study	BI2024
test de Irwin	Irwin Test	BI2024
test de Irwin	Irwin-test	BI2024
cardiopatía isquémica	ischemic heart disease	BI2024
isoforma	isoform	BI2024
compuesto intermedio aislado	isolated intermediate	BI2024
aislador	isolator 	BI2024
acetato de isopropilo	isopropyl acetate	BI2024
gráfico de isoterma	isotherm plot	BI2024
transductor isotónico	isotonic transducer	BI2024
picazón 	itching	BI2024
molino de chorro	jet mill 	BI2024
unión	joint	referido a rollo de aluminio)	BI2024
justificación de los controles en los pasos críticos	justification of controls at critical steps	BI2024
Batería de evaluación de Kaufman para niños	Kaufman Assessment Battery for Children	BI2024
Test K-ABC 	K-ABC Test	BI2024
inflamación mediada por queratinocitos	keratinocyte-mediated inflammation	BI2024
ácidos cetónicos	ketone acids	BI2024
criterio de valoración secundario clave	key secondary endpoint	BI2024
criterio de valoración secundario clave	key secondary end-point	BI2024
criterio de valoración secundario clave	key outcome measure	BI2024
kilogramo 	kilogram 	BI2024
kilopondio	kilopond	BI2024
cinasa	kinase	BI2024
gráfico de cinética	kinetic plot	BI2024
ratones con knockout	knockout rats	deficiencia genética inducida)	BI2024
dominio Kringle	Kringle domain	BI2024
a escala de laboratorio	lab scale	BI2024
etiqueta	label	BI2024
información técnica	label	BI2024
ficha técnica 	label insert 	BI2024
contenido declarado 	labelled claim	BI2024
contenido declarado 	label claim	BI2024
sistema de datos de laboratorios 	laboratory data system	BI2024
precio de venta del laboratorio	laboratory sale price	BI2024
lactato deshidrogenasa	lactate dehydrogenase	BI2024
latencia	lag	BI2024
campana de flujo laminar	laminar flow cabin	BI2024
estudio de referencia	landmark study	BI2024
tamaño de partícula grande	large particle size	BI2024
difracción de rayos láser	laser diffraction	BI2024
difracción de rayos láser	laser-beam diffraction 	BI2024
fluorescencia inducida por láser	laser-induced fluorescence	BI2024
detección por fluorescencia inducida por láser 	laser-induced fluorescence detection	BI2024
imputación de la última observación realizada	last observation carried forward	BI2024
etapas posteriores de desarrollo	late development	BI2024
estudio clínico de fase I tardía 	late phase I clinical study	BI2024
estudio clínico de fase II tardía 	late phase II clinical study	BI2024
“poly A”) sequence	late polyadenylation	secuencia de poliadenilación tardía (“poli A”) 	BI2024
infección de tuberculosis latente 	latent tuberculosis infection	BI2024
comprimidos multicapa 	layered tablets	BI2024
proceso de recubrimiento en forma de capas 	layering process 	BI2024
lixiviables	leachables	cromatografía)	BI2024
solución estándar de plomo 	lead standard solution	BI2024
solución madre de plomo	lead stock solution	BI2024
ensayo de fugas	leak test	BI2024
tasa de fuga 	leakage rate	BI2024
tasa de fuga 	leaking rate	BI2024
fracción de eyección ventricular izquierda	left ventricular ejection fraction	BI2024
presión ventricular izquierda	left ventricular pressure	BI2024
cinasa de tirosina específica del leucocito 	leukocyte-specific protein tyrosine kinase 	BI2024
cucharada al ras	level scoop	BI2024
hemorragia potencialmente mortal	life threatening bleeding 	BI2024
ligando	ligand	BI2024
cabina de luz	light cabinet	BI2024
cadena liviana	light chain	BI2024
oscurecimiento de luz	light obscuration	BI2024
prueba de recuento de partículas por oscurecimiento	light obscuration particle count test	BI2024
dispersión de luz	light scattering	BI2024
(sometido a) condiciones extremas de luz	light stressed conditions	BI2024
resistente a la luz	light-tight	BI2024
solución para determinar el límite de cuantificación	limit of quantification solution	BI2024
límite de cuantificación	limit of quantitation	BI2024
análisis de límite	limit test	BI2024
ajuste tipo lineal	linear type fit	BI2024
linealidad	linearity	BI2024
gráfico de linealidad	linearity plot	BI2024
revestimiento	lining	BI2024
función de enlace 	link function	BI2024
ácido linoleico	linoleic acid	BI2024
ácido linolénico	linolenic acid	BI2024
medicamento lipófilo	lipophilic drug	BI2024
lipofilia	lipophilicity	BI2024
lipofobicidad	lipophobicity	BI2024
lipooxigenasa	lipoxygenase	BI2024
licuefacción	liquefaction	BI2024
cromatografía líquida  	liquid chromatography	BI2024
cromatografía líquida de alta resolución acoplada a espectrometría de masas en tándem [HPLC - MS/MS]	liquid chromatography coupled to tandem mass spectrometry [HPLC - MS/MS]	BI2024
chorros de líquido	liquid jets	BI2024
anillo líquido	liquid ring	BI2024
centelleo líquido	liquid scintillation 	BI2024
medios líquidos de condiciones extremas	liquid stress media	BI2024
medios líquidos de condiciones extremas	liquid stress medium	BI2024
Lista de tablas	List of tables	BI2024
camada	litter	BI2024
vacunas con organismos vivos 	live vaccines	BI2024
dosis de carga	loading dose	BI2024
actividad motriz	locomotor activity	BI2024
reducción logarítmica	log reduction	BI2024
escala logarítmica	log scale	BI2024
ácidos grasos poliinsaturados de cadena larga 	long chain polyunsaturated fatty acids  	BI2024
agonistas-beta de acción prolongada	long-acting beta-adrenergic agonist	BI2024
tratamiento de mantenimiento a largo plazo	long-term maintenance treatment	BI2024
estudios de estabilidad a largo plazo	long-term stability studies	BI2024
agregado incohesivos	loose aggregate	BI2024
pérdida por desecación	loss on drying	BI2024
lote	lot	a diferencia de batch, suele referirse al producto individual, terminado, que es producto de la partida)	BI2024
unión a las proteínas plasmáticas baja e independiente de la concentración 	low and concentration independent plasma protein binding	BI2024
impureza de bajo nivel	low level impurity	BI2024
especies de bajo peso molecular	low molecular weight species	BI2024
de bajo contenido proteico	low protein	BI2024
de baja unión a proteínas	low protein binding	BI2024
filtro de baja unión a proteínas 	low protein binding filter 	BI2024
hidroxipropilcelulosa de baja sustitución	low substituted hydroxypropylcellulose	BI2024
límite normal inferior	lower limit of normal	BI2024
límite inferior de cuantificación	lower limit of quantification	BI2024
vías respiratorias superiores	lower respiratory tract	BI2024
disolvente con un pH más bajo	lower solvent pH	BI2024
azul de baja intensidad	low-intensity blue 	BI2024
pastilla	lozenge	BI2024
lubricante	lubricant	BI2024
lumiflavina	lumiflavin	BI2024
grumos	lumps	BI2024
adenocarcinoma pulmonar	lung adenocarcinoma	BI2024
función pulmonar	lung function	BI2024
licopeno	lycopene	BI2024
ganglios linfáticos	lymph nodes	BI2024
macrogol	macrogol	BI2024
macrófago	macrophage	BI2024
óxido de magnesio extra ligero	magnesium oxide, extra light	BI2024
estearato de magnesio	magnesium stearate	BI2024
índice de disnea de Mahler	Mahler Dyspnoea Indices	BI2024
pico principal	main peak 	BI2024
Maguncia	Mainz	BI2024
almidón de maíz	maize starch	BI2024
complicación cardíaca grave	major adverse cardiac event, major adverse cardiological event	BI2024
complicación hemorrágica grave	major bleeding event	BI2024
pasos principales de operación de la unidad	major unit operation steps	BI2024
llevar a enrase	make up to the mark	BI2024
llevar a enrase	take up to the mark	BI2024
llevar a enrase	fill to the mark	BI2024
llevar a enrase	fill up to the mark	BI2024
macho	male 	BI2024
ácido maleico	maleic acid	BI2024
maltitol	maltitol	BI2024
maltodextrina	maltodextrin	BI2024
ensayo de aberraciones cromosómicas de mamíferos	mammalian chromosome aberration test	BI2024
manganeso	manganese	BI2024
manitol líquido	manitol liquid	BI2024
fabricabilidad	manufacturability	BI2024
fabricación y comercialización 	manufacture and market	BI2024
fabricación	manufacturing 	BI2024
fecha de fabricación	manufacturing date	BI2024
proceso de fabricación	manufacturing process 	BI2024
valores atípicos marcados	marked outliers	BI2024
solicitud de registro	marketing authorization application	BI2024
titular de la autorización de la comercialización	marketing authorization holder	BI2024
equilibrio de masas	mass balance	BI2024
base de datos de espectros de masas	mass spectral database	BI2024
espectrometría de masa 	mass spectrometry	BI2024
espectrometría de masas	mass spectrometry	BI2024
mastocito	mast cell	BI2024
mastocitoma	mast cell tumor	BI2024
mastocitoma	mast cell tumour	BI2024
registro maestro de partidas	master batch record	BI2024
banco de células maestro	master cell bank	BI2024
valores emparejados	matched values	BI2024
aparearse, apareamiento 	mate, mating 	BI2024
planilla de datos	material data sheet	BI2024
materiales de elaboración 	materials of construction 	BI2024
apareamiento	mating	BI2024
diseño de análisis de matriz	matrixing	BI2024
velocidad máxima [Vmáx]	maximal velocity 	BI2024
concentración máxima [Cmáx ]	maximum concentration  	BI2024
concentración máxima en condiciones de equilibrio [C(máx,ss)]	maximum concentration at steady state conditions [C(max,ss)]	BI2024
concentración plasmática, sanguínea y tisular máxima del analito [Cmáx]	maximum concentration of analyte in plasma/blood/tissue 	BI2024
dosis máxima recomendada en humanos	maximum recommended human dose	BI2024
dosis máxima tolerada 	maximum tolerated dose 	BI2024
células que expresan el gen MDR1	MDR1-expressing cells	BI2024
MAPE)	mean absolute percentage error	porcentaje de error medio absoluto (PEMA)	BI2024
tiempo medio de residencia 	mean residence time 	BI2024
MSE)	mean square error	error cuadrático medio (ECM)	BI2024
MV) 	mean value	media aritmética	BI2024
medición	measurement	BI2024
vaso dosificador	measuring cap	BI2024
vaso dosificador	measuring dish	BI2024
inhibición basada en el mecanismo	mechanism-based inhibition	BI2024
dispositivo médico	medical device	BI2024
Diccionario Médico de Actividades Regulatorias	Medical Dictionary for Regulatory Activities 	Medical Dictionary for Regulatory Activities) 	BI2024
criterios médicos de selección para el uso de anticonceptivos	medical eligibility criteria for contraceptive use	BI2024
antecedentes	medical history	BI2024
historia clínica	medical record	BI2024
historia clínica	case history	BI2024
medicamento	medicinal product	BI2024
triglicéridos de cadena media	medium-chain triglycerides	BI2024
meglumina	meglumine	BI2024
fusión-cristalización	melt-crystallized	BI2024
punto de fusión	melting point	BI2024
rango de fusión	melting range	BI2024
filtración de la membrana	membrane filtration	BI2024
índice de desarrollo mental	mental development index	BI2024
abertura de la malla	mesh opening	de un tamiz)	BI2024
malla	mesh screen	de un tamiz)	BI2024
ácido ribonucleico mensajero  	messenger ribonucleic acid  	BI2024
expresión del ácido ribonucleico mensajero	messenger ribonucleic acid expression	BI2024
metabisulfito	metabisulphite 	BI2024
vía metabólica	metabolic pathway	BI2024
producto metabólico	metabolic product	BI2024
producto metabólico	metabolism product	BI2024
metabolismo 	metabolism	BI2024
sistema metabolizante	metabolizing system	BI2024
metafase	metaphase	BI2024
MDI)	metered dose inhaler	inhalador con válvula dosificadora	BI2024
inhalador con válvula dosificadora	metered-dose inhalator	BI2024
cámara dosificadora	metering chamber	BI2024
válvula dosificadora	metering valve	BI2024
metanol R	methanol R	BI2024
metanólico	methanolic	BI2024
solución metanólica de dióxido de azufre en piridina	methanolic pyridine-sulphur dioxide solution	BI2024
metenamina	methenamine	BI2024
sección metodológica	methodology section	BI2024
acetato de metilo	methyl acetate	BI2024
metilmetanosulfonato	methyl methanesulfonate	BI2024
metilparabeno	methyl paraben	BI2024
miligramo por comprimido	mg/tablet	BI2024
análisis microbiológico	microbial assay	BI2024
contaminación microbiana	microbial contamination	BI2024
carga microbiana	microbial load	BI2024
pureza microbiológica	microbiological purity	BI2024
calidad microbiológica	microbiological quality	BI2024
microcristalino	microcrystalline	BI2024
celulosa microcristalina	microcrystalline cellulose	BI2024
microgramo [µg]	microgram [µg]	BI2024
micromolar [µM]	micromolar [µM]	BI2024
sucralosa micronizada	micronized sucralose	BI2024
micronutriente	micro-nutrient	BI2024
mircoorganismos	micro-organisms	BI2024
microproteína	microprotein	BI2024
proteína microsómica	microsomal protein	BI2024
placa de microtitulación	microtiter plate	BI2024
midazolam	midazolam	BI2024
migraña	migraine	BI2024
evento adverso leve	mild adverse event	BI2024
to develop)	mild or moderate reaction	reacción leve o moderada (presentar una)	BI2024
moler	mill	BI2024
miligramo 	milligram 	BI2024
mililitro 	milliliter	BI2024
mililitro 	millilitre 	BI2024
molienda	milling 	BI2024
diferencia mínima clínicamente importante 	Minimal clinical important change	BI2024
carga microbiana mínima	minimal microbial load	BI2024
cerdo miniatura	minipig	BI2024
minuto 	minute 	BI2024
miscibilidad	miscibility	BI2024
miscible	miscible	BI2024
error en la dosis	misdosing	BI2024
dosis omitida	missed dose	BI2024
datos perdidos	missing data	BI2024
cinasa de proteína activada por mitógenos	mitogen-activated protein kinase	BI2024
índice mitótico	mitotic index	BI2024
mezclar	mix	BI2024
modelo de efectos mixtos con medidas repetidas	mixed model for repeated measures	BI2024
reactor	mixing reactor	BI2024
vaso mezclador	mixing vessel	BI2024
fase móvil	mobile phase	cromatografía)	BI2024
modo de acción	mode of action	BI2024
evento adverso moderado	moderate adverse event	BI2024
mezcla de HAM F12/DMEM modificada	modified HAM´s F12/DMEM mixture	BI2024
denominación internacional de genéricos modificada  	modified international non-proprietary name  	BI2024
medidor de humedad	moisture meter	BI2024
molar	molar	BI2024
tamiz molecular	molecular sieve	BI2024
compuesto de azul de molibdeno‑fosfato	molybdenum-blue-phosphate complex	BI2024
monocatión	monocation	BI2024
monocitos	monocytes	BI2024
monografía	monograph	BI2024
monómero	monomer	BI2024
cinetosis	motion sickness	BI2024
actividad motriz	motor activity	BI2024
moho	mould	BI2024
ratón	mouse	BI2024
boquilla	mouthpiece	de un aerosol)	BI2024
resorte móvil	moving spring	BI2024
pasta 	mull	BI2024
estudio multicéntrico 	multicenter	BI2024
estudio multicéntrico 	multicentre trial /study	BI2024
frasco multidosis	multi-dose bottle	BI2024
transportador de proteínas de extrusión de toxinas y múltiples fármacos	multidrug and toxin extrusion transporter	BI2024
proteína de resistencia a múltiples fármacos	multidrug resistance protein	BI2024
sistema de cierre plástico de rosca articulado con secante	multipart plastic screw closure containing desiccant	BI2024
estudio con dosis múltiples	multiple dose study	BI2024
receptor muscarínico colinérgico	muscarinic cholinergic receptor	BI2024
mialgia	muscle pain	BI2024
estudio de mutagenicidad	mutagenicity study	BI2024
célula mutante	mutant cell	BI2024
hocico	muzzle	BI2024
mielopoyesis	myelopoiesis	BI2024
infarto de miocardio	myocardial infarction	BI2024
dolor persistente	nagging pain	BI2024
nanogramo 	nanogram 	BI2024
nanómetro 	nanometer 	BI2024
nanomolar 	nanomolar 	BI2024
descripción detallada del proceso de fabricación	narrative description of the manufacturing process	BI2024
solución acuosa nasal	nasal aqueous solution	BI2024
Administración Nacional de Medicamentos, Alimentos y Tecnología Médica	National Drug, Food and Medical Technology Agency	ANMAT) 	BI2024
N-desmetilación	N-demethylation	BI2024
espectroscopía de infrarrojo cercano	near-infrared spectroscopy	BI2024
puro	neat	BI2024
gas de nebulización	nebuliser gas	BI2024
necrótico	necrotic	BI2024
aguja 	needle 	BI2024
lavado de la aguja	needle wash	BI2024
control negativo	negative control	BI2024
insignificante	negligible 	BI2024
nefelómetro	nephelometer	BI2024
unidad nefelométrica de turbidez	nephelometric turbidity unit	BI2024
nefelometría	nephelometry	BI2024
nefropatía	nephropathy	BI2024
beneficio clínico neto	net clinical benefit	BI2024
neuropatía	neuropathy	BI2024
captación del rojo neutro	neutral red uptake	BI2024
neutrófilo	neutrophil	BI2024
neutrofilia	neutrophilia	BI2024
mediadores neutrófilos	neutrophilic mediators	BI2024
nevirapina anhidra 	nevirapine anhydrous	BI2024
hemihidrato de nevirapina	nevirapine hemihydrate	BI2024
solicitud de registro	new drug application 	BI2024
cepa de conejo New Zealand White	New Zealand White rabbit strain	BI2024
niacinamida	niacinamide	BI2024
nada por vía oral	nil per os [n.p.o.]	BI2024
nitrilo 	nitril 	BI2024
clorhidrato de N-metil ciclohexilamina	n-methylcyclohexylammonium hydrochloride	BI2024
sin crecimiento	no growth	BI2024
dosis máxima sin efecto adverso observado	no observed adverse effect level	BI2024
dosis máxima sin efecto adverso observado	non-observed adverse effect level	BI2024
dosis máxima sin efecto adverso observado	non observed adverse effect level	BI2024
sin muestra	no sample	BI2024
patients with) 	no visible pustules	(pacientes) sin pústulas visibles 	BI2024
preclínico	non clinical	BI2024
preclínico	non-clinical	BI2024
fracción de radioactividad no extraíble	non extractable fraction of radioactivity 	BI2024
estudio que no cumple con las Buenas Prácticas de Laboratorio   	non Good Laboratory Practices study	BI2024
estudio que no cumple con las Buenas Prácticas de Laboratorio   	non GLP study	BI2024
infarto de miocardio sin elevación del segmento ST	non ST-segment elevation myocardial infarction	BI2024
resumen preclínico	non-clinical overview	BI2024
resumen preclínico	nonclinical overview	BI2024
estudio no comparativo	non-comparative study	BI2024
condiciones de desnaturalización	nondenatured conditions	BI2024
aminoácidos no esenciales	non-essential amino acids	BI2024
recubrimiento no funcional	non-functional film-coat	BI2024
estómago no glandular	nonglandular stomach	BI2024
no halogenado	non-halogenated	BI2024
producto que no está en fase de investigación clínica	non-investigational product	BI2024
medicamento de venta libre 	non-prescription drug	BI2024
medicamento de venta libre 	nonprescription drug	BI2024
apirógeno	non-pyrogenic	BI2024
a las preguntas de un cuestionario)	non-respondent	BI2024
persona que no responde	nonrespondent	a las preguntas de un cuestionario)	BI2024
al tratamiento)	non-responder	BI2024
persona que no responde	nonresponder	al tratamiento)	BI2024
válvula de retención	non-return valve	BI2024
carcinoma no microcítico de pulmón 	non-small cell lung cancer	BI2024
antinflamatorio no esteroide	non-steroidal anti-inflammatory drug	BI2024
residuo no volátil 	nonvolatile residue	BI2024
residuo no volátil 	non-volatile residue	BI2024
normalidad	normality	BI2024
eritrocito normocromático	normochromatic erythrocytes	BI2024
no corresponde [No corr.]	not applicable [N/A]	BI2024
no determinado [no det.]	not determined [N/D]	BI2024
como mínimo	not less than	BI2024
como máximo 	not more than	BI2024
como máximo 	no more than	BI2024
no especificado [n/e]	not reported	BI2024
sin evaluar [s.e.]	not tested [n.t.]	BI2024
nota orientativa	note for guidance	BI2024
N-oxidación	N-oxidation	BI2024
resonancia magnética nuclear	nuclear magnetic resonance	BI2024
nucleofílico	nucleophilic	BI2024
cantidad de pacientes	number of patients	BI2024
aro de nylon	nylon loop	BI2024
aro de sello	o ring	o-ring)	BI2024
oscurecimiento	obscuration	BI2024
prueba de recuento de partículas por oscurecimiento	obscuration Particle Count Test	BI2024
estudio de observación	observational study	BI2024
gel de octadecilsilil sílice	octadecylsilyl silica gel	BI2024
cociente de probabilidades	odds ratio	BI2024
O-desalquilación	O-dealkylation	BI2024
enantato de estradiol 	oestradiol enanthate 	BI2024
cría	offspring	BI2024
mutagénesis dirigida por oligonucleótidos 	oligonucleotide-directed mutagenesis	BI2024
mapeo de los oligosacáridos	oligosaccharide mapping	BI2024
clorhidrato de olodaterol	olodaterol hydrochloride	BI2024
el día de su utilización	on the day of use	BI2024
fenómeno on/off	on/off phenomenon	Parkinson)	BI2024
una vez al día	once daily [q.d.] / 	BI2024
adicción oncogénica	oncogene addiction	BI2024
prueba unilateral	one-sided testing	BI2024
método de inicio	onset method 	referido a cromatografía)	BI2024
opalescente	opalescent 	BI2024
método de capilar abierto	open capillary method	BI2024
estudio abierto	open label study	BI2024
almacenamiento al descubierto	open storage 	BI2024
estudio de diseño abierto	open study	BI2024
boca	opening	de un frasco)	BI2024
esfuerzo de apertura	opening stress	BI2024
of testing specification)	Operational Area	Área operativa	BI2024
enantiómero	optical isomer	BI2024
microscopía óptica	optical microscopy	BI2024
camino óptico 	optical path	BI2024
pureza óptica	optical purity	BI2024
adaptador bucal	oral adaptor	BI2024
anticoagulante oral	oral anticoagulant	BI2024
vía de administración oral	oral delivery route	BI2024
tolerancia oral a la glucosa	oral glucose tolerance	BI2024
prueba de tolerancia oral a la glucosa	oral glucose tolerance test 	BI2024
pedidos	orders	BI2024
distribución de los órganos	organ distribution	BI2024
transportador de aniones orgánicos	organic anion transporter	BI2024
polipéptido transportador de aniones orgánicos	organic anion transporting-polypeptide	BI2024
transportador de cationes orgánicos	organic cation transporter	BI2024
Organización para la Cooperación y el Desarrollo Económico	Organization for Economic Co-operation and Development	Organization for Economic Co-operation and Development)	BI2024
organoléptico	organoleptic	BI2024
medicamento huérfano	orphan drug	BI2024
cirugía ortopédica	orthopaedic surgery	BI2024
ácido ortofosfórico	Ortho-phosphoric acid 	BI2024
osmolalidad	osmolality	BI2024
desenlace clínico	outcome	referida al estudio)	BI2024
referida al estudio)	criterio de valoración	BI2024
pronóstico, evolución	outcome	BI2024
respuesta	outcome	referida al paciente)	BI2024
desenlaces y resultados	outcome and results	BI2024
tapa externa	outer cap	BI2024
embalaje exterior	outer carton	BI2024
valor atípico	outlier	BI2024
que no cumple con la especificación	out-of-specification	BI2024
que no cumple con la especificación	out of specification	BI2024
resultados que no cumplen con las especificaciones	out-of-specification results	BI2024
resultados que no cumplen con las especificaciones	out of specification results 	BI2024
ovalado	oval shaped	BI2024
escalada de temperatura del horno	oven temperature ramp  	BI2024
tiempo de calentamiento 	oven time	BI2024
producto de venta libre 	over the counter product [OTC product]	BI2024
excedente	overage	BI2024
sobrellenado	overfill	BI2024
cromatograma superpuesto	overlay chromatogram	BI2024
de rápida acción	overnight	BI2024
e.g. allow the solution to stand overnight)	overnight	hasta el día siguiente (por ejemplo: dejar la disolución en reposo hasta el día siguiente) 	BI2024
sobrepresión	overpressure	BI2024
análisis exhaustivo	overread	BI2024
resumen	overview 	BI2024
oxalato	oxalate	BI2024
ácido oxálico 	oxalic acid	BI2024
desmetilación oxidativa	oxidative demethylation	BI2024
sometido a condiciones de agresión oxidativa	oxidative stressed	BI2024
agente oxidante	oxidizing agent	BI2024
valor p	p value	BI2024
contenido del envase	package fill	BI2024
acondicionamiento	packaging 	BI2024
envase	packaging 	BI2024
volumen de células empaquetadas	packed cell volume	BI2024
columna de relleno	packed column	cromatografía)	BI2024
material de acondicionamiento	packing material	BI2024
aparato de paleta	paddle apparatus	BI2024
método de paleta	paddle method	BI2024
cromatografía líquida con método de paletas	paddle method liquid chromatography	BI2024
dolor	pain	por lo general, todo tipo de dolor y en cualquier localización cuando no es continuo y fijo en la cabeza, la espalda, los oídos, las muelas ni el estómago; ver ache).	BI2024
Escala visual analógica del dolor	Pain Visual Analog Scale	BI2024
emparejar	pair	BI2024
paladio 	palladium 	BI2024
equipo para pruebas de integridad de filtros Palltronic	Palltronic tester	BI2024
ácido palmítico	palmitic acid	BI2024
bandeja 	pan	BI2024
pancitopenia	pancytopenia	BI2024
pantoprazol sódico 	pantoprazole-sodium	BI2024
pantoprazol magnésico 	pantoprozole-magnesium	BI2024
paquímetro	paquimeter	BI2024
parahidroxibenzoato	parahydroxybenzoate	BI2024
grupos paralelos	parallel group 	referido a estudios clínicos)	BI2024
partidas originales	parent batches	BI2024
línea celular parental 	parent cell line	BI2024
compuesto original	parent compound	BI2024
fármaco original	parent drug  	BI2024
distribución de las partículas según su tamaño	particle size distribution	BI2024
