------- 1 - Términos	BI2024
index for cardiac contractility	índice de contracción ventricular	BI2024
Indicator Amino Acid Oxidation method	método indicador de oxidación de aminoácidos	BI2024
indicator solution	solución indicadora	BI2024
individual drift controls	controles de deriva individuales 	BI2024
individual value	valor individual	BI2024
induced mutation	mutación provocada	BI2024
inductive coupled plasma optical emission spectroscopy [ICP-OES]	espectrometría de emisión óptica con plasma de acoplamiento inductivo [ICP-OES]	BI2024
inflammatory infiltration	infiltración inflamatoria	BI2024
inflammatory mediator release	liberación de mediadores inflamatorios	BI2024
inflammatory skin disease	enfermedad inflamatoria de la piel	BI2024
informed consent	consentimiento informado	BI2024
infrared drying	secado infrarrojo   	BI2024
IR drying	secado infrarrojo   	BI2024
infrared spectrometer	espectómetro infrarrojo	BI2024
infrared spectrophotometry	espectrofotometría infrarroja	BI2024
IR spectrophotometry	espectrofotometría infrarroja	BI2024
infrared spectroscopy	espectroscopía infrarroja	BI2024
IR spectroscopy	espectroscopía infrarroja	BI2024
infrared spectrum	espectro infrarrojo	BI2024
IR spectrum	espectro infrarrojo	BI2024
infusion	infusión	BI2024
ingredient	componente	de un comprimido)	BI2024
Ingredient manufacturer	fabricante de los componentes	BI2024
inhalation power	polvo inhalatorio	BI2024
inhaled corticosteroids	corticoesteroides inhalados	BI2024
inhaler	inhalador	BI2024
inhaler cam bushing snap fit	cierre a presión del buje de leva del inhalador	BI2024
inhibition potential	potencial inhibitorio	BI2024
inhibitory effect 	efecto inhibitorio 	BI2024
inhibitory pathways	vías inhibitorias	BI2024
in-house	de uso interno	BI2024
initiate treatment	inicio del tratamiento	BI2024
initiating treatment	iniciar el tratamiento 	BI2024
injection principle	principio de inyección	BI2024
injection site reaction 	reacción en la zona de inyección	BI2024
injection vial	ampolla para inyección	BI2024
injector	inyector	BI2024
injury	lesión	BI2024
inlet	entrada	cromatografía)	BI2024
in-line filter membrane	filtro de membrana en la vía	BI2024
inner cap	tapa interna	BI2024
inoculated products	productos inoculados	BI2024
inoculum train	tren de inóculo 	BI2024
inotropic effect	efecto inotrópico	BI2024
in-process controls	controles intermedios del proceso	BI2024
in-process parameters	parámetros intermedios del proceso	BI2024
in-process tests	pruebas intraproceso	BI2024
insoluble matter	materia insoluble	BI2024
inspiratory capacity	capacidad inspiratoria	BI2024
instillation	instilación	BI2024
instructions for handling and use	instrucciones para la manipulación y modo de empleo	BI2024
instructions for use	modo de empleo	BI2024
insufficient glycaemic control	control glucémico insuficiente	BI2024
integrable peaks	picos integrables	BI2024
integrated analysis of efficacy	análisis integrado de eficacia	BI2024
Integrator	integrador	BI2024
integrator units	unidades de integración	BI2024
integrin 	integrina	BI2024
integrity tester	equipo para prueba de integridad	BI2024
integument	tegumento	BI2024
integument	cobertura	BI2024
integumentary	tegumentario	BI2024
intended commercial formulation	fórmula comercial prevista	BI2024
intended final formulation	fórmula final prevista	BI2024
intended primary stability batches	partidas previstas de estabilidad primaria 	BI2024
intention-to-treat analysis	análisis por intención de tratar	BI2024
analysis	análisis IDT	BI2024
interaction studies	estudios para establecer interacciones	BI2024
interactions	interacciones	BI2024
Interactions with other medicinal products and other forms of interaction	Interacciones medicamentosas y de otro tipo	BI2024
interchangeabilty	intercambiabilidad	BI2024
interfering peak	pico de interferencia	BI2024
interim isotherm	isoterma intermedia	BI2024
interindividual	interindividual	BI2024
inter-individual variability	variabilidad entre individuos	BI2024
interleukin 6 [IL 6]	interleucina 6 [IL-6]	BI2024
interleukin inhibitor 	inhibidor de la interleucina 	BI2024
interlukin 36 	interleucina 36 [IL-36]	BI2024
interlukin 36 receptor  signalling	señalización del receptor de la interleucina 36 [IL-36R]	BI2024
intermediate 	compuesto intermedio	durante el proceso de fabricación)	BI2024
intermediate precision	precisión intermedia	BI2024
intermittent asthma	asma intermitente	BI2024
internal code 	código interno	de un producto)	BI2024
internal liner	revestimiento interno	de un obturador)	BI2024
international birth date	fecha de la primera autorización a nivel internacional	de un medicamento)	BI2024
International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use	Conferencia Internacional sobre Armonización de Requisitos Técnicos del Registro de Productos Farmacéuticos para Consumo Humano	International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use)	BI2024
International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use	Consejo Internacional sobre Armonización de Requisitos Técnicos del Registro de Productos Farmacéuticos para Uso Humano	International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use)	BI2024
International Nonproprietary Name	Denominación común internacional	BI2024
interventional procedure 	procedimiento intervencionista	BI2024
intrabatch	intrapartida	BI2024
intraduodenal [i.d.]	intraduodenal [i.d.]	BI2024
intraduodenal administration	administración intraduodenal	BI2024
intraepithelial neoplasia 	neoplasia intraepitelial 	BI2024
intra-individual variability	variabilidad en un mismo individuo	BI2024
intramuscular injection	inyección por vía intramuscular 	BI2024
intra-subject ratio	variabilidad intraindividuo	BI2024
intravenous [i.v.]	intravenoso [i.v.]	BI2024
intravenous line	vía intravenosa	BI2024
intravenous route of administration	vía de administración intravenosa 	BI2024
intravenously	por vía intravenosa	BI2024
intrinsic dissolution rates	velocidad de disolución intrínseca	BI2024
in-use studies	estudios durante el uso 	BI2024
iodide	yoduro	BI2024
iodimetry	yodimetría	BI2024
iodine	yodo	BI2024
iodometric assay	yodometría	BI2024
iodometry	yodometría	BI2024
ion exchange chromatography	cromatografía de intercambio iónico	BI2024
ion pair	par iónico	BI2024
ion pairing reagent	reactivo de pares iónicos	BI2024
ionizable groups	grupos ionizables	BI2024
ionomer	ionómero	BI2024
ion-pair chromatography	cromatografía de pares de iones	BI2024
ion pair chromatography	cromatografía de pares de iones	BI2024
irreversible inhibitor	inhibidor irreversible	BI2024
Irwin study	test de Irwin	BI2024
Irwin Test	test de Irwin	BI2024
Irwin-test	test de Irwin	BI2024
ischemic heart disease	cardiopatía isquémica	BI2024
isoform	isoforma	BI2024
isolated intermediate	compuesto intermedio aislado	BI2024
isolator 	aislador	BI2024
isopropyl acetate	acetato de isopropilo	BI2024
isotherm plot	gráfico de isoterma	BI2024
isotonic transducer	transductor isotónico	BI2024
itching	picazón 	BI2024
jet mill 	molino de chorro	BI2024
joint	unión	referido a rollo de aluminio)	BI2024
justification of controls at critical steps	justificación de los controles en los pasos críticos	BI2024
Kaufman Assessment Battery for Children	Batería de evaluación de Kaufman para niños	BI2024
K-ABC Test	Test K-ABC 	BI2024
keratinocyte-mediated inflammation	inflamación mediada por queratinocitos	BI2024
ketone acids	ácidos cetónicos	BI2024
key secondary endpoint	criterio de valoración secundario clave	BI2024
key secondary end-point	criterio de valoración secundario clave	BI2024
key outcome measure	criterio de valoración secundario clave	BI2024
kilogram 	kilogramo 	BI2024
kilopond	kilopondio	BI2024
kinase	cinasa	BI2024
kinetic plot	gráfico de cinética	BI2024
knockout rats	ratones con knockout	deficiencia genética inducida)	BI2024
Kringle domain	dominio Kringle	BI2024
lab scale	a escala de laboratorio	BI2024
label	etiqueta	BI2024
label	información técnica	BI2024
label insert 	ficha técnica 	BI2024
labelled claim	contenido declarado 	BI2024
label claim	contenido declarado 	BI2024
laboratory data system	sistema de datos de laboratorios 	BI2024
laboratory sale price	precio de venta del laboratorio	BI2024
lactate dehydrogenase	lactato deshidrogenasa	BI2024
lag	latencia	BI2024
laminar flow cabin	campana de flujo laminar	BI2024
landmark study	estudio de referencia	BI2024
large particle size	tamaño de partícula grande	BI2024
laser diffraction	difracción de rayos láser	BI2024
laser-beam diffraction 	difracción de rayos láser	BI2024
laser-induced fluorescence	fluorescencia inducida por láser	BI2024
laser-induced fluorescence detection	detección por fluorescencia inducida por láser 	BI2024
last observation carried forward	imputación de la última observación realizada	BI2024
late development	etapas posteriores de desarrollo	BI2024
late phase I clinical study	estudio clínico de fase I tardía 	BI2024
late phase II clinical study	estudio clínico de fase II tardía 	BI2024
late polyadenylation	“poly A”) sequence	secuencia de poliadenilación tardía (“poli A”) 	BI2024
latent tuberculosis infection	infección de tuberculosis latente 	BI2024
layered tablets	comprimidos multicapa 	BI2024
layering process 	proceso de recubrimiento en forma de capas 	BI2024
leachables	lixiviables	cromatografía)	BI2024
lead standard solution	solución estándar de plomo 	BI2024
lead stock solution	solución madre de plomo	BI2024
leak test	ensayo de fugas	BI2024
leakage rate	tasa de fuga 	BI2024
leaking rate	tasa de fuga 	BI2024
left ventricular ejection fraction	fracción de eyección ventricular izquierda	BI2024
left ventricular pressure	presión ventricular izquierda	BI2024
leukocyte-specific protein tyrosine kinase 	cinasa de tirosina específica del leucocito 	BI2024
level scoop	cucharada al ras	BI2024
life threatening bleeding 	hemorragia potencialmente mortal	BI2024
ligand	ligando	BI2024
light cabinet	cabina de luz	BI2024
light chain	cadena liviana	BI2024
light obscuration	oscurecimiento de luz	BI2024
light obscuration particle count test	prueba de recuento de partículas por oscurecimiento	BI2024
light scattering	dispersión de luz	BI2024
light stressed conditions	(sometido a) condiciones extremas de luz	BI2024
light-tight	resistente a la luz	BI2024
limit of quantification solution	solución para determinar el límite de cuantificación	BI2024
limit of quantitation	límite de cuantificación	BI2024
limit test	análisis de límite	BI2024
linear type fit	ajuste tipo lineal	BI2024
linearity	linealidad	BI2024
linearity plot	gráfico de linealidad	BI2024
lining	revestimiento	BI2024
link function	función de enlace 	BI2024
linoleic acid	ácido linoleico	BI2024
linolenic acid	ácido linolénico	BI2024
lipophilic drug	medicamento lipófilo	BI2024
lipophilicity	lipofilia	BI2024
lipophobicity	lipofobicidad	BI2024
lipoxygenase	lipooxigenasa	BI2024
liquefaction	licuefacción	BI2024
liquid chromatography	cromatografía líquida  	BI2024
liquid chromatography coupled to tandem mass spectrometry [HPLC - MS/MS]	cromatografía líquida de alta resolución acoplada a espectrometría de masas en tándem [HPLC - MS/MS]	BI2024
liquid jets	chorros de líquido	BI2024
liquid ring	anillo líquido	BI2024
liquid scintillation 	centelleo líquido	BI2024
liquid stress media	medios líquidos de condiciones extremas	BI2024
liquid stress medium	medios líquidos de condiciones extremas	BI2024
List of tables	Lista de tablas	BI2024
litter	camada	BI2024
live vaccines	vacunas con organismos vivos 	BI2024
loading dose	dosis de carga	BI2024
locomotor activity	actividad motriz	BI2024
log reduction	reducción logarítmica	BI2024
log scale	escala logarítmica	BI2024
long chain polyunsaturated fatty acids  	ácidos grasos poliinsaturados de cadena larga 	BI2024
long-acting beta-adrenergic agonist	agonistas-beta de acción prolongada	BI2024
long-term maintenance treatment	tratamiento de mantenimiento a largo plazo	BI2024
long-term stability studies	estudios de estabilidad a largo plazo	BI2024
loose aggregate	agregado incohesivos	BI2024
loss on drying	pérdida por desecación	BI2024
lot	lote	a diferencia de batch, suele referirse al producto individual, terminado, que es producto de la partida)	BI2024
low and concentration independent plasma protein binding	unión a las proteínas plasmáticas baja e independiente de la concentración 	BI2024
low level impurity	impureza de bajo nivel	BI2024
low molecular weight species	especies de bajo peso molecular	BI2024
low protein	de bajo contenido proteico	BI2024
low protein binding	de baja unión a proteínas	BI2024
low protein binding filter 	filtro de baja unión a proteínas 	BI2024
low substituted hydroxypropylcellulose	hidroxipropilcelulosa de baja sustitución	BI2024
lower limit of normal	límite normal inferior	BI2024
lower limit of quantification	límite inferior de cuantificación	BI2024
lower respiratory tract	vías respiratorias superiores	BI2024
lower solvent pH	disolvente con un pH más bajo	BI2024
low-intensity blue 	azul de baja intensidad	BI2024
lozenge	pastilla	BI2024
lubricant	lubricante	BI2024
lumiflavin	lumiflavina	BI2024
lumps	grumos	BI2024
lung adenocarcinoma	adenocarcinoma pulmonar	BI2024
lung function	función pulmonar	BI2024
lycopene	licopeno	BI2024
lymph nodes	ganglios linfáticos	BI2024
macrogol	macrogol	BI2024
macrophage	macrófago	BI2024
magnesium oxide, extra light	óxido de magnesio extra ligero	BI2024
magnesium stearate	estearato de magnesio	BI2024
Mahler Dyspnoea Indices	índice de disnea de Mahler	BI2024
main peak 	pico principal	BI2024
Mainz	Maguncia	BI2024
maize starch	almidón de maíz	BI2024
major adverse cardiac event, major adverse cardiological event	complicación cardíaca grave	BI2024
major bleeding event	complicación hemorrágica grave	BI2024
major unit operation steps	pasos principales de operación de la unidad	BI2024
make up to the mark	llevar a enrase	BI2024
take up to the mark	llevar a enrase	BI2024
fill to the mark	llevar a enrase	BI2024
fill up to the mark	llevar a enrase	BI2024
male 	macho	BI2024
maleic acid	ácido maleico	BI2024
maltitol	maltitol	BI2024
maltodextrin	maltodextrina	BI2024
mammalian chromosome aberration test	ensayo de aberraciones cromosómicas de mamíferos	BI2024
manganese	manganeso	BI2024
manitol liquid	manitol líquido	BI2024
manufacturability	fabricabilidad	BI2024
manufacture and market	fabricación y comercialización 	BI2024
manufacturing 	fabricación	BI2024
manufacturing date	fecha de fabricación	BI2024
manufacturing process 	proceso de fabricación	BI2024
marked outliers	valores atípicos marcados	BI2024
marketing authorization application	solicitud de registro	BI2024
marketing authorization holder	titular de la autorización de la comercialización	BI2024
mass balance	equilibrio de masas	BI2024
mass spectral database	base de datos de espectros de masas	BI2024
mass spectrometry	espectrometría de masa 	BI2024
mass spectrometry	espectrometría de masas	BI2024
mast cell	mastocito	BI2024
mast cell tumor	mastocitoma	BI2024
mast cell tumour	mastocitoma	BI2024
master batch record	registro maestro de partidas	BI2024
master cell bank	banco de células maestro	BI2024
matched values	valores emparejados	BI2024
mate, mating 	aparearse, apareamiento 	BI2024
material data sheet	planilla de datos	BI2024
materials of construction 	materiales de elaboración 	BI2024
mating	apareamiento	BI2024
matrixing	diseño de análisis de matriz	BI2024
maximal velocity 	velocidad máxima [Vmáx]	BI2024
maximum concentration  	concentración máxima [Cmáx ]	BI2024
maximum concentration at steady state conditions [C(max,ss)]	concentración máxima en condiciones de equilibrio [C(máx,ss)]	BI2024
maximum concentration of analyte in plasma/blood/tissue 	concentración plasmática, sanguínea y tisular máxima del analito [Cmáx]	BI2024
maximum recommended human dose	dosis máxima recomendada en humanos	BI2024
maximum tolerated dose 	dosis máxima tolerada 	BI2024
MDR1-expressing cells	células que expresan el gen MDR1	BI2024
mean absolute percentage error	MAPE)	porcentaje de error medio absoluto (PEMA)	BI2024
mean residence time 	tiempo medio de residencia 	BI2024
mean square error	MSE)	error cuadrático medio (ECM)	BI2024
mean value	MV) 	media aritmética	BI2024
measurement	medición	BI2024
measuring cap	vaso dosificador	BI2024
measuring dish	vaso dosificador	BI2024
mechanism-based inhibition	inhibición basada en el mecanismo	BI2024
medical device	dispositivo médico	BI2024
Medical Dictionary for Regulatory Activities 	Diccionario Médico de Actividades Regulatorias	Medical Dictionary for Regulatory Activities) 	BI2024
medical eligibility criteria for contraceptive use	criterios médicos de selección para el uso de anticonceptivos	BI2024
medical history	antecedentes	BI2024
medical record	historia clínica	BI2024
case history	historia clínica	BI2024
medicinal product	medicamento	BI2024
medium-chain triglycerides	triglicéridos de cadena media	BI2024
meglumine	meglumina	BI2024
melt-crystallized	fusión-cristalización	BI2024
melting point	punto de fusión	BI2024
melting range	rango de fusión	BI2024
membrane filtration	filtración de la membrana	BI2024
mental development index	índice de desarrollo mental	BI2024
mesh opening	abertura de la malla	de un tamiz)	BI2024
mesh screen	malla	de un tamiz)	BI2024
messenger ribonucleic acid  	ácido ribonucleico mensajero  	BI2024
messenger ribonucleic acid expression	expresión del ácido ribonucleico mensajero	BI2024
metabisulphite 	metabisulfito	BI2024
metabolic pathway	vía metabólica	BI2024
metabolic product	producto metabólico	BI2024
metabolism product	producto metabólico	BI2024
metabolism	metabolismo 	BI2024
metabolizing system	sistema metabolizante	BI2024
metaphase	metafase	BI2024
metered dose inhaler	MDI)	inhalador con válvula dosificadora	BI2024
metered-dose inhalator	inhalador con válvula dosificadora	BI2024
metering chamber	cámara dosificadora	BI2024
metering valve	válvula dosificadora	BI2024
methanol R	metanol R	BI2024
methanolic	metanólico	BI2024
methanolic pyridine-sulphur dioxide solution	solución metanólica de dióxido de azufre en piridina	BI2024
methenamine	metenamina	BI2024
methodology section	sección metodológica	BI2024
methyl acetate	acetato de metilo	BI2024
methyl methanesulfonate	metilmetanosulfonato	BI2024
methyl paraben	metilparabeno	BI2024
mg/tablet	miligramo por comprimido	BI2024
microbial assay	análisis microbiológico	BI2024
microbial contamination	contaminación microbiana	BI2024
microbial load	carga microbiana	BI2024
microbiological purity	pureza microbiológica	BI2024
microbiological quality	calidad microbiológica	BI2024
microcrystalline	microcristalino	BI2024
microcrystalline cellulose	celulosa microcristalina	BI2024
microgram [µg]	microgramo [µg]	BI2024
micromolar [µM]	micromolar [µM]	BI2024
micronized sucralose	sucralosa micronizada	BI2024
micro-nutrient	micronutriente	BI2024
micro-organisms	mircoorganismos	BI2024
microprotein	microproteína	BI2024
microsomal protein	proteína microsómica	BI2024
microtiter plate	placa de microtitulación	BI2024
midazolam	midazolam	BI2024
migraine	migraña	BI2024
mild adverse event	evento adverso leve	BI2024
mild or moderate reaction	to develop)	reacción leve o moderada (presentar una)	BI2024
mill	moler	BI2024
milligram 	miligramo 	BI2024
milliliter	mililitro 	BI2024
millilitre 	mililitro 	BI2024
milling 	molienda	BI2024
Minimal clinical important change	diferencia mínima clínicamente importante 	BI2024
minimal microbial load	carga microbiana mínima	BI2024
minipig	cerdo miniatura	BI2024
minute 	minuto 	BI2024
miscibility	miscibilidad	BI2024
miscible	miscible	BI2024
misdosing	error en la dosis	BI2024
missed dose	dosis omitida	BI2024
missing data	datos perdidos	BI2024
mitogen-activated protein kinase	cinasa de proteína activada por mitógenos	BI2024
mitotic index	índice mitótico	BI2024
mix	mezclar	BI2024
mixed model for repeated measures	modelo de efectos mixtos con medidas repetidas	BI2024
mixing reactor	reactor	BI2024
mixing vessel	vaso mezclador	BI2024
mobile phase	fase móvil	cromatografía)	BI2024
mode of action	modo de acción	BI2024
moderate adverse event	evento adverso moderado	BI2024
modified HAM´s F12/DMEM mixture	mezcla de HAM F12/DMEM modificada	BI2024
modified international non-proprietary name  	denominación internacional de genéricos modificada  	BI2024
moisture meter	medidor de humedad	BI2024
molar	molar	BI2024
molecular sieve	tamiz molecular	BI2024
molybdenum-blue-phosphate complex	compuesto de azul de molibdeno‑fosfato	BI2024
monocation	monocatión	BI2024
monocytes	monocitos	BI2024
monograph	monografía	BI2024
monomer	monómero	BI2024
motion sickness	cinetosis	BI2024
motor activity	actividad motriz	BI2024
mould	moho	BI2024
mouse	ratón	BI2024
mouthpiece	boquilla	de un aerosol)	BI2024
moving spring	resorte móvil	BI2024
mull	pasta 	BI2024
multicenter	estudio multicéntrico 	BI2024
multicentre trial /study	estudio multicéntrico 	BI2024
multi-dose bottle	frasco multidosis	BI2024
multidrug and toxin extrusion transporter	transportador de proteínas de extrusión de toxinas y múltiples fármacos	BI2024
multidrug resistance protein	proteína de resistencia a múltiples fármacos	BI2024
multipart plastic screw closure containing desiccant	sistema de cierre plástico de rosca articulado con secante	BI2024
multiple dose study	estudio con dosis múltiples	BI2024
muscarinic cholinergic receptor	receptor muscarínico colinérgico	BI2024
muscle pain	mialgia	BI2024
mutagenicity study	estudio de mutagenicidad	BI2024
mutant cell	célula mutante	BI2024
muzzle	hocico	BI2024
myelopoiesis	mielopoyesis	BI2024
myocardial infarction	infarto de miocardio	BI2024
nagging pain	dolor persistente	BI2024
nanogram 	nanogramo 	BI2024
nanometer 	nanómetro 	BI2024
nanomolar 	nanomolar 	BI2024
narrative description of the manufacturing process	descripción detallada del proceso de fabricación	BI2024
nasal aqueous solution	solución acuosa nasal	BI2024
National Drug, Food and Medical Technology Agency	Administración Nacional de Medicamentos, Alimentos y Tecnología Médica	ANMAT) 	BI2024
N-demethylation	N-desmetilación	BI2024
near-infrared spectroscopy	espectroscopía de infrarrojo cercano	BI2024
neat	puro	BI2024
nebuliser gas	gas de nebulización	BI2024
necrotic	necrótico	BI2024
needle 	aguja 	BI2024
needle wash	lavado de la aguja	BI2024
negative control	control negativo	BI2024
negligible 	insignificante	BI2024
nephelometer	nefelómetro	BI2024
nephelometric turbidity unit	unidad nefelométrica de turbidez	BI2024
nephelometry	nefelometría	BI2024
nephropathy	nefropatía	BI2024
net clinical benefit	beneficio clínico neto	BI2024
neuropathy	neuropatía	BI2024
neutral red uptake	captación del rojo neutro	BI2024
neutrophil	neutrófilo	BI2024
neutrophilia	neutrofilia	BI2024
neutrophilic mediators	mediadores neutrófilos	BI2024
nevirapine anhydrous	nevirapina anhidra 	BI2024
nevirapine hemihydrate	hemihidrato de nevirapina	BI2024
new drug application 	solicitud de registro	BI2024
New Zealand White rabbit strain	cepa de conejo New Zealand White	BI2024
niacinamide	niacinamida	BI2024
nil per os [n.p.o.]	nada por vía oral	BI2024
nitril 	nitrilo 	BI2024
n-methylcyclohexylammonium hydrochloride	clorhidrato de N-metil ciclohexilamina	BI2024
no growth	sin crecimiento	BI2024
no observed adverse effect level	dosis máxima sin efecto adverso observado	BI2024
non-observed adverse effect level	dosis máxima sin efecto adverso observado	BI2024
non observed adverse effect level	dosis máxima sin efecto adverso observado	BI2024
no sample	sin muestra	BI2024
no visible pustules	patients with) 	(pacientes) sin pústulas visibles 	BI2024
non clinical	preclínico	BI2024
non-clinical	preclínico	BI2024
non extractable fraction of radioactivity 	fracción de radioactividad no extraíble	BI2024
non Good Laboratory Practices study	estudio que no cumple con las Buenas Prácticas de Laboratorio   	BI2024
non GLP study	estudio que no cumple con las Buenas Prácticas de Laboratorio   	BI2024
non ST-segment elevation myocardial infarction	infarto de miocardio sin elevación del segmento ST	BI2024
non-clinical overview	resumen preclínico	BI2024
nonclinical overview	resumen preclínico	BI2024
non-comparative study	estudio no comparativo	BI2024
nondenatured conditions	condiciones de desnaturalización	BI2024
non-essential amino acids	aminoácidos no esenciales	BI2024
non-functional film-coat	recubrimiento no funcional	BI2024
nonglandular stomach	estómago no glandular	BI2024
non-halogenated	no halogenado	BI2024
non-investigational product	producto que no está en fase de investigación clínica	BI2024
non-prescription drug	medicamento de venta libre 	BI2024
nonprescription drug	medicamento de venta libre 	BI2024
non-pyrogenic	apirógeno	BI2024
non-respondent	a las preguntas de un cuestionario)	BI2024
nonrespondent	persona que no responde	a las preguntas de un cuestionario)	BI2024
non-responder	al tratamiento)	BI2024
nonresponder	persona que no responde	al tratamiento)	BI2024
non-return valve	válvula de retención	BI2024
non-small cell lung cancer	carcinoma no microcítico de pulmón 	BI2024
non-steroidal anti-inflammatory drug	antinflamatorio no esteroide	BI2024
nonvolatile residue	residuo no volátil 	BI2024
non-volatile residue	residuo no volátil 	BI2024
normality	normalidad	BI2024
normochromatic erythrocytes	eritrocito normocromático	BI2024
not applicable [N/A]	no corresponde [No corr.]	BI2024
not determined [N/D]	no determinado [no det.]	BI2024
not less than	como mínimo	BI2024
not more than	como máximo 	BI2024
no more than	como máximo 	BI2024
not reported	no especificado [n/e]	BI2024
not tested [n.t.]	sin evaluar [s.e.]	BI2024
note for guidance	nota orientativa	BI2024
N-oxidation	N-oxidación	BI2024
nuclear magnetic resonance	resonancia magnética nuclear	BI2024
nucleophilic	nucleofílico	BI2024
number of patients	cantidad de pacientes	BI2024
nylon loop	aro de nylon	BI2024
o ring	aro de sello	o-ring)	BI2024
obscuration	oscurecimiento	BI2024
obscuration Particle Count Test	prueba de recuento de partículas por oscurecimiento	BI2024
observational study	estudio de observación	BI2024
octadecylsilyl silica gel	gel de octadecilsilil sílice	BI2024
odds ratio	cociente de probabilidades	BI2024
O-dealkylation	O-desalquilación	BI2024
oestradiol enanthate 	enantato de estradiol 	BI2024
offspring	cría	BI2024
oligonucleotide-directed mutagenesis	mutagénesis dirigida por oligonucleótidos 	BI2024
oligosaccharide mapping	mapeo de los oligosacáridos	BI2024
olodaterol hydrochloride	clorhidrato de olodaterol	BI2024
on the day of use	el día de su utilización	BI2024
on/off phenomenon	fenómeno on/off	Parkinson)	BI2024
once daily [q.d.] / 	una vez al día	BI2024
oncogene addiction	adicción oncogénica	BI2024
one-sided testing	prueba unilateral	BI2024
onset method 	método de inicio	referido a cromatografía)	BI2024
opalescent 	opalescente	BI2024
open capillary method	método de capilar abierto	BI2024
open label study	estudio abierto	BI2024
open storage 	almacenamiento al descubierto	BI2024
open study	estudio de diseño abierto	BI2024
opening	boca	de un frasco)	BI2024
opening stress	esfuerzo de apertura	BI2024
Operational Area	of testing specification)	Área operativa	BI2024
optical isomer	enantiómero	BI2024
optical microscopy	microscopía óptica	BI2024
optical path	camino óptico 	BI2024
optical purity	pureza óptica	BI2024
oral adaptor	adaptador bucal	BI2024
oral anticoagulant	anticoagulante oral	BI2024
oral delivery route	vía de administración oral	BI2024
oral glucose tolerance	tolerancia oral a la glucosa	BI2024
oral glucose tolerance test 	prueba de tolerancia oral a la glucosa	BI2024
orders	pedidos	BI2024
organ distribution	distribución de los órganos	BI2024
organic anion transporter	transportador de aniones orgánicos	BI2024
organic anion transporting-polypeptide	polipéptido transportador de aniones orgánicos	BI2024
organic cation transporter	transportador de cationes orgánicos	BI2024
Organization for Economic Co-operation and Development	Organización para la Cooperación y el Desarrollo Económico	Organization for Economic Co-operation and Development)	BI2024
organoleptic	organoléptico	BI2024
orphan drug	medicamento huérfano	BI2024
orthopaedic surgery	cirugía ortopédica	BI2024
Ortho-phosphoric acid 	ácido ortofosfórico	BI2024
osmolality	osmolalidad	BI2024
outcome	desenlace clínico	referida al estudio)	BI2024
criterio de valoración	referida al estudio)	BI2024
outcome	pronóstico, evolución	BI2024
outcome	respuesta	referida al paciente)	BI2024
outcome and results	desenlaces y resultados	BI2024
outer cap	tapa externa	BI2024
outer carton	embalaje exterior	BI2024
outlier	valor atípico	BI2024
out-of-specification	que no cumple con la especificación	BI2024
out of specification	que no cumple con la especificación	BI2024
out-of-specification results	resultados que no cumplen con las especificaciones	BI2024
out of specification results 	resultados que no cumplen con las especificaciones	BI2024
oval shaped	ovalado	BI2024
oven temperature ramp  	escalada de temperatura del horno	BI2024
oven time	tiempo de calentamiento 	BI2024
over the counter product [OTC product]	producto de venta libre 	BI2024
overage	excedente	BI2024
overfill	sobrellenado	BI2024
overlay chromatogram	cromatograma superpuesto	BI2024
overnight	de rápida acción	BI2024
overnight	e.g. allow the solution to stand overnight)	hasta el día siguiente (por ejemplo: dejar la disolución en reposo hasta el día siguiente) 	BI2024
overpressure	sobrepresión	BI2024
overread	análisis exhaustivo	BI2024
overview 	resumen	BI2024
oxalate	oxalato	BI2024
oxalic acid	ácido oxálico 	BI2024
oxidative demethylation	desmetilación oxidativa	BI2024
oxidative stressed	sometido a condiciones de agresión oxidativa	BI2024
oxidizing agent	agente oxidante	BI2024
p value	valor p	BI2024
package fill	contenido del envase	BI2024
packaging 	acondicionamiento	BI2024
packaging 	envase	BI2024
packed cell volume	volumen de células empaquetadas	BI2024
packed column	columna de relleno	cromatografía)	BI2024
packing material	material de acondicionamiento	BI2024
paddle apparatus	aparato de paleta	BI2024
paddle method	método de paleta	BI2024
paddle method liquid chromatography	cromatografía líquida con método de paletas	BI2024
pain	dolor	por lo general, todo tipo de dolor y en cualquier localización cuando no es continuo y fijo en la cabeza, la espalda, los oídos, las muelas ni el estómago; ver ache).	BI2024
Pain Visual Analog Scale	Escala visual analógica del dolor	BI2024
pair	emparejar	BI2024
palladium 	paladio 	BI2024
Palltronic tester	equipo para pruebas de integridad de filtros Palltronic	BI2024
palmitic acid	ácido palmítico	BI2024
pan	bandeja 	BI2024
pancytopenia	pancitopenia	BI2024
pantoprazole-sodium	pantoprazol sódico 	BI2024
pantoprozole-magnesium	pantoprazol magnésico 	BI2024
paquimeter	paquímetro	BI2024
parahydroxybenzoate	parahidroxibenzoato	BI2024
parallel group 	grupos paralelos	referido a estudios clínicos)	BI2024
parent batches	partidas originales	BI2024
parent cell line	línea celular parental 	BI2024
parent compound	compuesto original	BI2024
parent drug  	fármaco original	BI2024
particle size distribution	distribución de las partículas según su tamaño	BI2024
